f,1,2,3,4,5,6
400,0.1455,0.0861,0.2361,0.0769,0.3014,0.154
401,0.5311,0.1225,0.136,0.0546,0.0812,0.0746
402,0.1054,0.0546,0.1706,0.4004,0.0758,0.1932
403,0.0915,0.0479,0.183,0.2664,0.0784,0.3329
404,0.0959,0.0484,0.159,0.4591,0.0673,0.1703
405,0.1058,0.0544,0.1701,0.4088,0.0747,0.1862
406,0.5076,0.1459,0.1332,0.0554,0.0824,0.0755
407,0.5397,0.1241,0.1314,0.0529,0.0794,0.0724
408,0.0873,0.0453,0.1779,0.2902,0.0741,0.3252
409,0.0859,0.0434,0.1453,0.5035,0.0612,0.1608
410,0.2705,0.3962,0.1187,0.0445,0.1025,0.0677
411,0.1029,0.0522,0.167,0.428,0.0718,0.178
412,0.0912,0.0461,0.1525,0.479,0.0645,0.1667
413,0.1049,0.054,0.1693,0.4098,0.0745,0.1874
414,0.1145,0.0594,0.1797,0.3695,0.0808,0.1961
415,0.1131,0.0586,0.1782,0.3765,0.0797,0.194
416,0.0992,0.0504,0.1625,0.4427,0.0697,0.1754
417,0.1032,0.0523,0.1674,0.4275,0.0718,0.1778
418,0.1388,0.0593,0.4137,0.1152,0.101,0.1721
419,0.5596,0.1225,0.1241,0.0496,0.076,0.0683
420,0.0939,0.0473,0.1566,0.4682,0.066,0.168
421,0.0951,0.0483,0.1575,0.4603,0.0672,0.1716
422,0.1077,0.056,0.1737,0.3873,0.0777,0.1976
423,0.0982,0.0506,0.1619,0.4336,0.0709,0.1848
424,0.5242,0.1354,0.1318,0.0541,0.0807,0.0738
425,0.0976,0.0506,0.163,0.4231,0.0719,0.1938
426,0.0931,0.049,0.1862,0.2448,0.0808,0.3461
427,0.0917,0.0396,0.6063,0.0637,0.0816,0.117
428,0.088,0.0458,0.1802,0.2707,0.0755,0.3398
429,0.1015,0.0524,0.1659,0.419,0.073,0.1881
430,0.1105,0.0575,0.1763,0.3788,0.0791,0.1977
431,0.0658,0.0333,0.1157,0.6031,0.048,0.1341
432,0.1106,0.0569,0.1753,0.3899,0.0776,0.1897
433,0.0665,0.0334,0.1173,0.6017,0.0481,0.133
434,0.094,0.0483,0.1565,0.4537,0.068,0.1794
435,0.108,0.0557,0.1728,0.3963,0.0766,0.1906
436,0.0651,0.0328,0.1147,0.6083,0.0473,0.1317
437,0.0821,0.0418,0.14,0.5163,0.0594,0.1604
438,0.0771,0.0389,0.1328,0.546,0.0555,0.1497
439,0.0719,0.0368,0.1264,0.5574,0.0535,0.1541
440,0.0703,0.0355,0.1226,0.5801,0.051,0.1405
441,0.1105,0.0574,0.176,0.3814,0.0788,0.196
442,0.0758,0.0383,0.131,0.552,0.0547,0.1482
443,0.0995,0.0506,0.1627,0.4403,0.0701,0.1769
